firma,kargo,tarih,tutar
arya teker,ulucan nakliyat,"02,01,2026","2,000.00"
kuzey makine,özgür gökalp,"05,01,2026","11,150.00"
komposan,özgür gökalp,"06,01,2026",725.00
buton led,kargokar taşımacılık,"08,01,2026",406.86
aşanteks tekstil,ergül kargo taşımacılık,"12,01,2026",236.25
günder tekstil,ergül kargo taşımacılık,"12,01,2026",236.25
aşanteks tekstil,ergül kargo taşımacılık,"13,01,2026",236.25
altın büro,mehmet mercan,"14,01,2026","3,500.00"
kasalar kalıp,ekspres kurye taşımacılık,"16,01,2026","2,800.00"
günder tekstil,ergül kargo taşımacılık,"16,01,2026",236.25
günder tekstil,ergül kargo taşımacılık,"16,01,2026",236.25
sunsal orm ürünleri,ekspres kurye taşımacılık,"19,01,2026",400.00
aşanteks tekstil,ergül kargo taşımacılık,"19,01,2026",236.25
günder tekstil,ergül kargo taşımacılık,"20,01,2026",236.25
verdoro mobilya,ekspres kurye taşımacılık,"21,01,2026","1,600.00"
aşanteks tekstil,ergül kargo taşımacılık,"21,01,2026",236.25
aşanteks tekstil,ergül kargo taşımacılık,"22,01,2026",270.00
günder tekstil,ekspres kurye taşımacılık,"23,01,2026",600.00
aşanteks tekstil,ergül kargo taşımacılık,"23,01,2026",236.25
aşanteks tekstil,ergül kargo taşımacılık,"26,01,2026","1,181.25"
aşanteks tekstil,ergül kargo taşımacılık,"27,01,2026",332.78
günder tekstil,ergül kargo taşımacılık,"26,01,2026",472.50
vipes,cargom express lojistik,"28,01,2026",171.72
aşanteks tekstil,ergül kargo taşımacılık,"31,01,2026",708.75